protein1	protein2	combined_score
ABHD8	ANKLE1	0.737
ESF1	DDX49	0.811
ESF1	UTP25	0.826
ESF1	DHX15	0.876
ESF1	NOP14	0.918
ESF1	BYSL	0.93
ESF1	KRR1	0.957
ESF1	ABT1	0.995
ESF1	UTP6	0.995
ESF1	DDX10	0.996
KRR1	DHX15	0.744
KRR1	DDX10	0.827
KRR1	UTP25	0.905
KRR1	DDX49	0.917
KRR1	ABT1	0.988
KRR1	RRP36	0.992
KRR1	NOP14	0.999
KRR1	UTP6	0.999
KRR1	BYSL	0.999
BYSL	UTP25	0.895
BYSL	DHX15	0.969
BYSL	DDX10	0.971
BYSL	DDX49	0.975
BYSL	RRP36	0.978
BYSL	ABT1	0.991
BYSL	UTP6	0.999
BYSL	NOP14	0.999
RRP36	DDX49	0.778
RRP36	NOP14	0.86
RRP36	DDX10	0.981
RRP36	UTP6	0.987
RRP36	UTP25	0.992
RRP36	ABT1	0.995
DDX49	DHX15	0.856
DDX49	NOP14	0.921
DDX49	UTP25	0.961
DDX49	ABT1	0.998
UTP6	DDX10	0.736
UTP6	DHX15	0.833
UTP6	UTP25	0.927
UTP6	ABT1	0.98
UTP6	NOP14	0.997
ABT1	NOP14	0.983
ABT1	DHX15	0.984
ABT1	UTP25	0.989
ABT1	DDX10	0.992
DDX10	DHX15	0.809
DDX10	NOP14	0.952
DHX15	UTP25	0.781
DHX15	NOP14	0.785
NOP14	UTP25	0.984
MADCAM1	CCL21	0.783
MADCAM1	CCL25	0.928
MADCAM1	ACKR2	0.996
CCL22	CCL25	0.727
CCL22	CCL21	0.807
CCL22	CCL2	0.914
CCL22	CCL5	0.926
CCL22	CCL19	0.947
CCL22	CCL17	0.964
CCL22	ACKR2	0.977
CCL17	CCL2	0.75
CCL17	CCL27	0.824
CCL17	CCL19	0.854
CCL17	ACKR2	0.99
CCL17	CCL25	0.998
CCL17	CCL21	0.998
CCL17	CCL5	0.999
CCL2	CCL27	0.725
CCL2	CCL19	0.892
CCL2	ACKR2	0.985
CCL2	CCL5	0.999
CCL21	CCL25	0.931
CCL21	CCL27	0.946
CCL21	ACKR2	0.992
CCL21	CCL19	0.997
CCL21	CCL5	0.999
CCL27	CCL3	0.789
CCL27	CCL19	0.875
CCL27	CCL25	0.922
CCL27	ACKR2	0.998
CCL27	CCL5	0.999
CCL19	CCL5	0.756
CCL19	CCL3	0.831
CCL19	CCL25	0.933
CCL19	ACKR2	0.965
CCL25	CCL3	0.723
CCL25	CCL5	0.998
CCL25	ACKR2	0.999
ACKR2	CCL3	0.982
ACKR2	CCL5	0.985
CCL5	CCL3	0.913
WASL	WAS	0.919
WASL	ARPC5L	0.96
WASL	ACTR3B	0.971
WASL	ARPC1A	0.98
WASL	ARPC5	0.993
WASL	ARPC4	0.994
WASL	ARPC2	0.998
WASL	ARPC3	0.998
WASL	ACTR3	0.999
WASL	ACTR2	0.999
ARPC3	ACTR3B	0.99
ARPC3	WAS	0.998
ARPC3	ARPC2	0.999
ARPC3	ACTR3	0.999
ARPC3	ARPC5L	0.999
ARPC3	ARPC4	0.999
ARPC3	ARPC5	0.999
ARPC3	ACTR2	0.999
ARPC3	ARPC1A	0.999
ACTR3B	ACTR3	0.936
ACTR3B	ARPC1A	0.964
ACTR3B	ARPC4	0.977
ACTR3B	WAS	0.978
ACTR3B	ARPC5L	0.979
ACTR3B	ARPC5	0.979
ACTR3B	ARPC2	0.982
ACTR3B	ACTR2	0.999
