Gene	Score
ANKLE1	0.030303030303030304
ABHD8	0.02583919303532563
BTN3A2	0.025113551747245614
BTN3A1	0.025066181009351457
BTN3A3	0.024764423047118574
ATP8B4	0.0233100646030303
CA10	0.0233100646030303
ATRN	0.022990732329127017
ASIP	0.022914619331487703
ADAMTS7	0.022835091809804812
BTN2A1	0.02276971254129513
CCDC170	0.022317253899169512
BAG6	0.02229606028992632
AQP7	0.022209617081698732
BPTF	0.02220777578113529
AQP3	0.022065849639054304
ADAR	0.022042781481644232
BAZ1A	0.022035349295835734
ACTRT3	0.02193460139734116
AZGP1	0.021855637537921982
BRCA2	0.021838187858450597
BABAM1	0.02177062001426066
AK5	0.02173635316179792
BTNL2	0.02170159948294571
APOM	0.02167953880653881
ATM	0.02167540259684248
ACKR2	0.021593594386296298
ACVR1B	0.021545413179491383
ABT1	0.02152784057690059
AFTPH	0.021512365676093506
CASP8	0.02150075270366747
ACTR2	0.021479755522777536
C6orf15	0.02144307067847385
BSCL2	0.006992965700000001
XDH	0.00569214087291222
PLIN2	0.005437117489235135
ANKLE2	0.004463837267704671
MFGE8	0.0043298264946382255
TMEM30B	0.00352415949525066
TMEM30A	0.0034688062047493404
MYNN	0.0028357928192657743
LRRIQ4	0.0027075134792432973
COMP	0.002694953583564988
LRRC34	0.0026088191318096245
MC1R	0.0022587107846393493
FURIN	0.002145079951211664
ARMT1	0.0020966549293283824
PHACTR1	0.0020535796979277723
AQP11	0.0020503515676653403
AQP12A	0.002014661173101023
